time,latitude,longitude,depth,mag,place,type,Year,Mo,Dy,Date,timestamp,Hr,Mn,Sec,Val,Tsunami Cause Code,Focal Depth (km),Vol,Deposits,Country,Area,Region,Location Name,lat,long,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Abe),Tsunami Magnitude (Iida),Tsunami Intensity,Deaths,Missing,Injuries,Damage ($Mil),_merge,gid,Max Distance,timestamp2
,,,,6.3,,,1956.0,3.0,5.0,,1956-03-05,23.0,29.0,,4.0,1.0,20.0,,0.0,JAPAN,,85.0,NE. HOKKAIDO ISLAND,44.3,144.1,0.4,1.0,,-1.3,-2.0,,,,,right_only,28,,1956-03-05
,,,,7.8,,,1956.0,7.0,9.0,,1956-07-09,3.0,11.0,39.0,4.0,1.0,20.0,,3.0,GREECE,,50.0,CYCLADES,36.9,26.0,30.0,100.0,,5.0,5.0,3.0,,,,right_only,29,1893.0,1956-07-09
,,,,8.6,,,1957.0,3.0,9.0,,1957-03-09,14.0,22.0,31.9,4.0,1.0,33.0,,6.0,USA,AK,87.0,"ANDREANOF ISLANDS, AK",51.292,-175.62900000000002,32.0,332.0,,3.9,3.0,2.0,,1.0,,right_only,31,13915.0,1957-03-09
,,,,7.9,,,1957.0,7.0,28.0,,1957-07-28,8.0,40.0,1.0,4.0,1.0,25.0,,0.0,MEXICO,,88.0,S. MEXICO,16.5,-99.1,1.3,3.0,,1.3,0.5,,,,,right_only,33,623.0,1957-07-28
,,,,7.6,,,1958.0,1.0,19.0,,1958-01-19,14.0,7.0,27.0,4.0,1.0,60.0,,0.0,ECUADOR,,89.0,COLOMBIA-ECUADOR,1.5,-79.5,,3.0,,,2.0,4.0,,,,right_only,35,416.0,1958-01-19
,,,,7.8,,,1958.0,7.0,10.0,,1958-07-10,6.0,15.0,59.9,4.0,3.0,35.0,,2.0,USA,AK,87.0,"SE. ALASKA, AK",58.37,-136.665,524.6,17.0,,4.6,5.0,5.0,,,0.1,right_only,36,4549.0,1958-07-10
,,,,5.0,,,1958.0,9.0,17.0,,1958-09-17,12.0,24.0,,2.0,1.0,40.0,,0.0,RUSSIA,,86.0,N. KURIL ISLANDS,48.6,156.1,0.23,1.0,,-2.3,-1.0,,,,,right_only,36,,1958-09-17
,,,,8.3,,,1958.0,11.0,6.0,,1958-11-06,22.0,58.0,8.6,4.0,1.0,40.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.53,148.54,5.0,60.0,,2.0,2.5,,,,,right_only,37,13454.0,1958-11-06
,,,,7.0,,,1958.0,11.0,12.0,,1958-11-12,20.0,23.0,,2.0,1.0,29.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.2,148.8,1.0,8.0,,,-1.0,,,,,right_only,37,,1958-11-12
,,,,6.8,,,1959.0,1.0,22.0,,1959-01-22,5.0,10.0,0.0,4.0,1.0,40.0,,0.0,JAPAN,,85.0,SANRIKU,37.5,142.2,0.8,9.0,,-0.3,-2.0,,,,,right_only,38,240.0,1959-01-22
,,,,5.0,,,1959.0,4.0,9.0,,1959-04-09,12.0,24.0,20.0,2.0,1.0,40.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,44.3,149.0,0.1,1.0,,-3.3,-2.0,,,,,right_only,39,252.0,1959-04-09
,,,,8.2,,,1959.0,5.0,4.0,,1959-05-04,7.0,15.0,42.0,4.0,1.0,60.0,,0.0,RUSSIA,,86.0,KAMCHATKA,52.5,159.5,0.2,7.0,,1.0,1.0,,,,,right_only,40,5333.0,1959-05-04
,,,,7.3,,,1959.0,8.0,17.0,,1959-08-17,21.0,4.0,40.0,4.0,1.0,33.0,,0.0,SOLOMON ISLANDS,,82.0,SOLOMON ISLANDS,-7.5,156.0,1.0,5.0,,1.3,,,,,,right_only,41,93.0,1959-08-17
,,,,6.7,,,1959.0,10.0,26.0,,1959-10-26,7.0,35.0,0.0,4.0,1.0,10.0,,0.0,JAPAN,,85.0,SANRIKU,37.5,143.2,0.11,8.0,,-3.3,-4.0,,,,,right_only,42,285.0,1959-10-26
,,,,7.5,,,1960.0,3.0,20.0,,1960-03-20,17.0,7.0,30.0,4.0,1.0,20.0,,0.0,JAPAN,,85.0,SANRIKU,39.8,143.4,1.0,19.0,,0.0,-2.0,,,,,right_only,43,427.0,1960-03-20
,,,,6.7,,,1960.0,3.0,23.0,,1960-03-23,0.0,23.0,,4.0,1.0,20.0,,0.0,JAPAN,,85.0,SANRIKU,39.4,143.7,0.75,12.0,,-1.0,-2.5,,,,,right_only,43,,1960-03-23
,,,,8.2,,,1960.0,5.0,21.0,,1960-05-21,10.0,2.0,50.0,4.0,1.0,35.0,,0.0,CHILE,,89.0,CENTRAL CHILE,-37.872,-73.243,0.3,2.0,,,-1.0,,,,,right_only,44,10658.0,1960-05-21
,,,,9.5,,,1960.0,5.0,22.0,,1960-05-22,19.0,11.0,17.0,4.0,1.0,33.0,4153.0,23.0,CHILE,,89.0,SOUTHERN CHILE,-38.143,-73.407,25.0,1215.0,,4.6,4.0,2226.0,,3000.0,1000.0,right_only,45,18111.0,1960-05-22
,,,,6.6,,,1960.0,6.0,11.0,,1960-06-11,15.0,14.0,9.0,3.0,1.0,33.0,,0.0,PAPUA NEW GUINEA,,82.0,SOLOMON SEA,-9.4,152.3,,1.0,,-0.5,0.0,,,,,right_only,46,74.0,1960-06-11
,,,,6.7,,,1960.0,7.0,29.0,,1960-07-29,17.0,31.0,45.0,4.0,1.0,30.0,,0.0,JAPAN,,85.0,SANRIKU,40.3,142.5,0.3,5.0,,-1.0,-3.0,,,,,right_only,47,239.0,1960-07-29
,,,,6.8,,,1960.0,11.0,20.0,,1960-11-20,22.0,1.0,56.4,3.0,1.0,93.0,,0.0,PERU,,89.0,N. PERU,-6.8,-80.7,9.0,19.0,,3.2,4.0,66.0,,2.0,0.55,right_only,48,14644.0,1960-11-20
,,,,6.8,,,1961.0,1.0,16.0,,1961-01-16,7.0,20.0,0.0,4.0,1.0,40.0,,0.0,JAPAN,,85.0,"KASHIMA, JAPAN",36.0,142.3,0.4,5.0,,-1.3,-2.0,,,,,right_only,49,265.0,1961-01-16
,,,,6.4,,,1961.0,1.0,16.0,,1961-01-16,11.0,19.0,0.0,4.0,1.0,20.0,,0.0,JAPAN,,85.0,"KASHIMA, JAPAN",36.0,141.9,0.4,2.0,,-1.3,-2.0,,,,,right_only,50,137.0,1961-01-16
,,,,6.5,,,1961.0,1.0,16.0,,1961-01-16,12.0,12.0,0.0,4.0,1.0,20.0,,0.0,JAPAN,,85.0,"KASHIMA, JAPAN",36.2,141.9,0.4,4.0,,-1.3,-2.0,,,,,right_only,51,236.0,1961-01-16
,,,,6.6,,,1961.0,2.0,12.0,,1961-02-12,21.0,53.0,0.0,4.0,1.0,80.0,,0.0,RUSSIA,,86.0,S. KURIL ISLANDS,43.2,147.9,1.0,5.0,,,-0.5,,,,,right_only,52,388.0,1961-02-12
,,,,7.6,,,1961.0,2.0,26.0,,1961-02-26,18.0,10.0,48.7,4.0,1.0,74.0,,0.0,JAPAN,,85.0,SEIKAIDO,31.6,131.8,0.65,34.0,,,-0.5,,,,,right_only,53,915.0,1961-02-26
,,,,6.6,,,1961.0,7.0,18.0,,1961-07-18,14.0,4.0,0.0,4.0,1.0,60.0,,0.0,JAPAN,,85.0,RYUKYU ISLANDS,29.6,131.8,0.2,6.0,,-2.3,-3.0,,,,,right_only,54,984.0,1961-07-18
,,,,7.3,,,1961.0,7.0,23.0,,1961-07-23,21.0,51.0,10.5,3.0,1.0,45.0,,0.0,VANUATU,,82.0,VANUATU ISLANDS,-18.421,168.41099999999997,0.9,2.0,,,-0.5,,,,,right_only,55,85.0,1961-07-23
,,,,7.0,,,1961.0,8.0,11.0,,1961-08-11,15.0,51.0,0.0,4.0,1.0,80.0,,0.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.9,145.6,0.1,9.0,,-3.3,-4.0,,,,,right_only,56,440.0,1961-08-11
,,,,6.9,,,1961.0,11.0,15.0,,1961-11-15,7.0,17.0,0.0,4.0,1.0,60.0,,0.0,JAPAN,,85.0,SE. HOKKAIDO ISLAND,42.7,145.7,0.1,9.0,,-3.3,-3.5,,,,,right_only,57,498.0,1961-11-15
,,,,6.1,,,1962.0,1.0,11.0,,1962-01-11,5.0,5.0,,3.0,1.0,33.0,,0.0,CROATIA,,50.0,DALMATIAN COASTS,43.3,17.1,0.04,1.0,,,,,,,,right_only,57,,1962-01-11
